file,function,search,min,mean,max
kroa,random_cycle,none,326489,340990,360232
kroa,random_cycle,MSLS,35178,35984,36396
krob,random_cycle,none,309860,326848,349270
krob,random_cycle,MSLS,34382,36061,36905
