file,function,search,min,mean,max
kroa,random_cycle,ILS1,357.38535928726196,357.4915506362915,357.6261124610901
kroa,random_cycle,ILS2_local_search,357.46442198753357,357.5488120079041,357.6224913597107
kroa,random_cycle,ILS2,357.373468875885,357.3950689315796,357.4282305240631
krob,random_cycle,ILS1,358.99591755867004,359.08856973648074,359.20284724235535
krob,random_cycle,ILS2_local_search,358.9798731803894,359.09802558422086,359.35307598114014
krob,random_cycle,ILS2,358.9930477142334,359.0135983705521,359.0304527282715
